age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,recent_contact,financial_risk,economic_index,demographic
38,2,0,1,1,0,0,1,2,1,733,1,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0,1,1094.0676,41
39,3,0,4,0,0,0,1,5,0,407,1,999,0,0,-0.1,93.2,-42.0,4.191,5195.8,0,0,1087.0173,46
24,11,1,1,0,1,0,1,0,1,113,2,999,2,1,-1.8,93.876,-40.0,0.682,5008.7,0,1,1048.8826,37
38,0,2,1,0,1,1,1,5,3,360,1,999,0,0,-1.1,94.767,-50.8,1.031,4963.6,0,2,1040.4128,41
32,4,1,1,0,1,0,0,0,1,237,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0,1,1086.6541,38
27,3,0,1,0,2,2,1,0,2,74,1,999,1,1,-1.8,92.893,-46.2,1.281,5099.1,0,4,1066.6508000000001,31
29,3,1,1,1,0,0,0,0,4,44,3,999,0,0,1.1,93.994,-36.4,4.855,5191.0,0,1,1086.6535000000001,34
47,4,0,3,0,1,0,1,2,0,502,2,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0,1,1094.0676,54
46,2,0,1,0,1,1,1,5,0,165,1,999,0,0,-0.1,93.2,-42.0,4.191,5195.8,0,2,1087.0173,49
53,6,0,6,0,1,0,1,5,1,244,2,999,0,0,-0.1,93.2,-42.0,4.153,5195.8,0,1,1087.0059,65
43,6,0,6,1,1,0,1,3,1,268,2,999,0,0,1.4,93.444,-36.1,4.968,5228.1,0,2,1093.8324000000002,55
30,1,1,1,0,0,0,0,0,0,113,5,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1086.6541,33
38,10,0,4,0,1,0,1,0,1,382,1,999,0,0,-1.8,92.893,-46.2,1.344,5099.1,0,1,1066.6697000000001,52
26,2,1,1,0,0,1,1,2,2,136,1,999,0,0,1.4,93.918,-42.7,4.963,5228.1,0,1,1094.0679,30
34,4,1,6,0,0,0,1,0,1,197,2,999,0,0,-1.8,92.893,-46.2,1.266,5099.1,0,0,1066.6463,45
53,3,0,5,0,0,1,1,2,3,821,1,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0,1,1094.0676,61
33,3,1,3,0,1,1,0,0,4,58,2,999,0,0,1.1,93.994,-36.4,4.864,5191.0,0,2,1086.6562000000001,40
51,2,2,6,0,1,0,1,2,0,1339,2,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0,1,1094.0676,61
47,4,2,1,0,0,0,0,2,3,393,3,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0,0,1094.0676,54
32,2,0,6,0,1,0,1,9,4,205,2,999,0,0,-3.4,92.379,-29.8,0.803,5017.5,0,1,1049.9304,40
43,4,0,4,0,0,0,0,0,4,265,2,999,0,0,1.1,93.994,-36.4,4.864,5191.0,0,0,1086.6562000000001,51
