age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,recent_contact,financial_risk,economic_index,demographic
38,2,0,1,1,0,0,1,2,1,644.5,1,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0.0,1.0,1094.0676,41.0
39,3,0,4,0,0,0,1,5,0,407.0,1,999,0,0,-0.1,93.2,-42.0,4.191,5195.8,0.0,0.0,1087.0173,46.0
24,11,1,1,0,1,0,1,0,1,113.0,2,999,2,1,-1.8,93.876,-40.0,0.682,5008.7,0.0,1.0,1048.8826,37.0
38,0,2,1,0,1,1,1,5,3,360.0,1,999,0,0,-1.1,94.767,-50.8,1.031,4963.6,0.0,2.0,1040.4128,41.0
32,4,1,1,0,1,0,0,0,1,237.0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0.0,1.0,1086.6541,38.0
27,3,0,1,0,2,2,1,0,2,74.0,1,999,1,1,-1.8,92.893,-46.2,1.281,5099.1,0.0,2.5,1066.6508000000001,31.0
29,3,1,1,1,0,0,0,0,4,44.0,3,999,0,0,1.1,93.994,-36.4,4.855,5191.0,0.0,1.0,1086.6535000000001,34.0
47,4,0,3,0,1,0,1,2,0,502.0,2,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0.0,1.0,1094.0676,54.0
46,2,0,1,0,1,1,1,5,0,165.0,1,999,0,0,-0.1,93.2,-42.0,4.191,5195.8,0.0,2.0,1087.0173,49.0
53,6,0,6,0,1,0,1,5,1,244.0,2,999,0,0,-0.1,93.2,-42.0,4.153,5195.8,0.0,1.0,1087.0059,65.0
43,6,0,6,1,1,0,1,3,1,268.0,2,999,0,0,1.4,93.444,-36.1,4.968,5228.1,0.0,2.0,1093.8324000000002,55.0
30,1,1,1,0,0,0,0,0,0,113.0,5,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0.0,0.0,1086.6541,33.0
38,10,0,4,0,1,0,1,0,1,382.0,1,999,0,0,-1.8,92.893,-46.2,1.344,5099.1,0.0,1.0,1066.6697000000001,52.0
26,2,1,1,0,0,1,1,2,2,136.0,1,999,0,0,1.4,93.918,-42.7,4.963,5228.1,0.0,1.0,1094.0679,30.0
34,4,1,6,0,0,0,1,0,1,197.0,2,999,0,0,-1.8,92.893,-46.2,1.266,5099.1,0.0,0.0,1066.6463,45.0
53,3,0,5,0,0,1,1,2,3,644.5,1,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0.0,1.0,1094.0676,61.0
33,3,1,3,0,1,1,0,0,4,58.0,2,999,0,0,1.1,93.994,-36.4,4.864,5191.0,0.0,2.0,1086.6562000000001,40.0
51,2,2,6,0,1,0,1,2,0,644.5,2,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0.0,1.0,1094.0676,61.0
47,4,2,1,0,0,0,0,2,3,393.0,3,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0.0,0.0,1094.0676,54.0
32,2,0,6,0,1,0,1,9,4,205.0,2,999,0,0,-3.4,92.379,-29.8,0.803,5017.5,0.0,1.0,1049.9304,40.0
