contact,month,duration,pdays,previous,poutcome,emp.var.rate,cons.price.idx,euribor3m,nr.employed,economic_index
1.0,2.0,644.5,999.0,0.0,0.0,1.4,93.918,4.962,5228.1,1094.0676
1.0,5.0,407.0,999.0,0.0,0.0,-0.1,93.2,4.191,5195.8,1087.0173
1.0,0.0,113.0,999.0,2.0,1.0,-1.8,93.876,0.682,5008.7,1048.8826
1.0,5.0,360.0,999.0,0.0,0.0,-1.1,94.767,1.031,4963.6,1040.4128
0.0,0.0,237.0,999.0,0.0,0.0,1.1,93.994,4.857,5191.0,1086.6541
1.0,0.0,74.0,999.0,1.0,1.0,-1.8,92.893,1.281,5099.1,1066.6508000000001
0.0,0.0,44.0,999.0,0.0,0.0,1.1,93.994,4.855,5191.0,1086.6535000000001
1.0,2.0,502.0,999.0,0.0,0.0,1.4,93.918,4.962,5228.1,1094.0676
1.0,5.0,165.0,999.0,0.0,0.0,-0.1,93.2,4.191,5195.8,1087.0173
1.0,5.0,244.0,999.0,0.0,0.0,-0.1,93.2,4.153,5195.8,1087.0059
1.0,3.0,268.0,999.0,0.0,0.0,1.4,93.444,4.968,5228.1,1093.8324000000002
0.0,0.0,113.0,999.0,0.0,0.0,1.1,93.994,4.857,5191.0,1086.6541
1.0,0.0,382.0,999.0,0.0,0.0,-1.8,92.893,1.344,5099.1,1066.6697000000001
1.0,2.0,136.0,999.0,0.0,0.0,1.4,93.918,4.963,5228.1,1094.0679
1.0,0.0,197.0,999.0,0.0,0.0,-1.8,92.893,1.266,5099.1,1066.6463
1.0,2.0,644.5,999.0,0.0,0.0,1.4,93.918,4.962,5228.1,1094.0676
0.0,0.0,58.0,999.0,0.0,0.0,1.1,93.994,4.864,5191.0,1086.6562000000001
1.0,2.0,644.5,999.0,0.0,0.0,1.4,93.918,4.962,5228.1,1094.0676
0.0,2.0,393.0,999.0,0.0,0.0,1.4,93.918,4.962,5228.1,1094.0676
1.0,9.0,205.0,999.0,0.0,0.0,-3.4,92.379,0.803,5017.5,1049.9304
0.0,0.0,265.0,999.0,0.0,0.0,1.1,93.994,4.864,5191.0,1086.6562000000001
1.0,8.0,644.5,999.0,0.0,0.0,-1.8,93.075,1.41,5099.1,1066.7805
1.0,5.0,20.0,999.0,0.0,0.0,-0.1,93.2,4.12,5195.8,1086.996
0.0,0.0,207.0,999.0,0.0,0.0,1.1,93.994,4.856,5191.0,1086.6538
0.0,0.0,82.0,999.0,0.0,0.0,1.1,93.994,4.857,5191.0,1086.6541
1.0,8.0,27.0,999.0,2.0,1.0,-1.8,93.075,1.365,5099.1,1066.7670000000003
0.0,9.0,211.0,6.0,2.0,2.0,-1.1,94.199,0.878,4963.6,1040.0829
1.0,3.0,179.0,999.0,0.0,0.0,1.4,93.444,4.963,5228.1,1093.8309000000002
1.0,3.0,323.0,999.0,0.0,0.0,1.4,93.444,4.964,5228.1,1093.8312
1.0,8.0,407.0,999.0,0.0,0.0,-1.8,93.749,0.644,5008.7,1048.8077
1.0,2.0,188.0,999.0,0.0,0.0,1.4,93.918,4.963,5228.1,1094.0679
1.0,3.0,54.0,999.0,0.0,0.0,1.4,93.444,4.962,5228.1,1093.8306000000002
1.0,3.0,83.0,999.0,2.0,1.0,-2.9,92.201,0.881,5076.2,1061.6048
1.0,1.0,101.0,999.0,0.0,0.0,-2.9,92.963,1.26,5076.2,1062.0995
0.0,0.0,26.0,12.0,1.0,2.0,-1.8,92.893,1.244,5099.1,1066.6397000000002
1.0,0.0,115.0,999.0,1.0,1.0,-1.8,92.893,1.299,5099.1,1066.6562000000001
1.0,8.0,272.0,999.0,0.0,0.0,-1.8,93.075,1.466,5099.1,1066.7973000000002
1.0,7.0,87.0,3.0,1.0,2.0,-1.8,93.369,0.653,5008.7,1048.6204
1.0,0.0,644.5,999.0,0.0,0.0,-1.8,92.893,1.25,5099.1,1066.6415000000002
0.0,0.0,384.0,999.0,0.0,0.0,1.1,93.994,4.86,5191.0,1086.655
1.0,5.0,529.0,999.0,0.0,0.0,-0.1,93.2,4.021,5195.8,1086.9663
1.0,5.0,125.0,999.0,0.0,0.0,-0.1,93.2,4.153,5195.8,1087.0059
0.0,0.0,90.0,999.0,0.0,0.0,1.1,93.994,4.857,5191.0,1086.6541
1.0,9.0,91.0,999.0,0.0,0.0,-3.4,92.379,0.819,5017.5,1049.9352
0.0,1.0,12.0,999.0,0.0,0.0,-1.7,94.055,0.702,4991.6,1045.5581000000002
0.0,0.0,159.0,999.0,0.0,0.0,1.1,93.994,4.856,5191.0,1086.6538
0.0,0.0,178.0,999.0,0.0,0.0,1.1,93.994,4.855,5191.0,1086.6535000000001
0.0,1.0,221.0,999.0,0.0,0.0,1.4,94.465,4.865,5228.1,1094.3120000000001
1.0,2.0,507.0,999.0,0.0,0.0,1.4,93.918,4.96,5228.1,1094.067
1.0,2.0,207.0,999.0,0.0,0.0,1.4,93.918,4.968,5228.1,1094.0694
1.0,5.0,222.0,999.0,1.0,1.0,-0.1,93.2,4.12,5195.8,1086.996
1.0,0.0,406.0,999.0,0.0,0.0,-1.8,92.893,1.266,5099.1,1066.6463
1.0,0.0,282.0,999.0,0.0,0.0,-1.8,92.893,1.334,5099.1,1066.6667000000002
1.0,8.0,257.0,999.0,1.0,1.0,-1.8,93.075,1.41,5099.1,1066.7805
0.0,0.0,127.0,999.0,0.0,0.0,1.1,93.994,4.858,5191.0,1086.6544000000001
1.0,5.0,292.0,999.0,0.0,0.0,-0.1,93.2,4.076,5195.8,1086.9828
1.0,6.0,644.5,999.0,1.0,1.0,-3.0,92.713,0.718,5023.5,1051.2719
1.0,8.0,124.0,999.0,0.0,0.0,-1.8,93.075,1.405,5099.1,1066.7790000000002
1.0,0.0,199.0,999.0,1.0,1.0,-1.8,92.893,1.259,5099.1,1066.6442000000002
1.0,0.0,139.0,999.0,1.0,1.0,-1.8,92.893,1.344,5099.1,1066.6697000000001
0.0,3.0,176.0,999.0,0.0,0.0,-2.9,92.201,0.869,5076.2,1061.6012
1.0,5.0,102.0,999.0,0.0,0.0,-0.1,93.2,4.12,5195.8,1086.996
0.0,0.0,234.0,999.0,0.0,0.0,1.1,93.994,4.856,5191.0,1086.6538
1.0,5.0,181.0,999.0,1.0,1.0,-0.1,93.2,4.153,5195.8,1087.0059
0.0,1.0,144.0,999.0,0.0,0.0,1.4,94.465,4.865,5228.1,1094.3120000000001
1.0,8.0,586.0,999.0,0.0,0.0,-1.8,93.075,1.365,5099.1,1066.7670000000003
1.0,2.0,194.0,13.0,1.0,2.0,-2.9,92.469,1.029,5076.2,1061.7832
1.0,5.0,275.0,999.0,0.0,0.0,-0.1,93.2,4.153,5195.8,1087.0059
1.0,0.0,231.0,999.0,0.0,0.0,-1.8,92.893,1.334,5099.1,1066.6667000000002
0.0,0.0,488.0,999.0,0.0,0.0,1.1,93.994,4.857,5191.0,1086.6541
1.0,8.0,285.0,999.0,0.0,0.0,-1.8,93.075,1.365,5099.1,1066.7670000000003
0.0,1.0,11.0,999.0,0.0,0.0,1.4,94.465,4.959,5228.1,1094.3402
1.0,0.0,51.0,999.0,0.0,0.0,-1.8,92.893,1.25,5099.1,1066.6415000000002
1.0,0.0,57.0,999.0,0.0,0.0,-1.8,92.893,1.281,5099.1,1066.6508000000001
1.0,2.0,125.0,999.0,0.0,0.0,1.4,93.918,4.961,5228.1,1094.0673000000002
1.0,5.0,150.0,999.0,1.0,1.0,-3.4,92.649,0.714,5017.5,1050.0387
1.0,3.0,131.0,4.0,1.0,2.0,-2.9,92.201,0.883,5076.2,1061.6054
0.0,0.0,88.0,999.0,0.0,0.0,1.1,93.994,4.856,5191.0,1086.6538
0.0,1.0,203.0,999.0,0.0,0.0,1.4,94.465,4.96,5228.1,1094.3405
1.0,3.0,105.0,999.0,0.0,0.0,1.4,93.444,4.964,5228.1,1093.8312
1.0,0.0,594.0,999.0,0.0,0.0,-1.8,92.893,1.327,5099.1,1066.6646
1.0,9.0,232.0,13.0,1.0,2.0,-1.1,94.199,0.879,4963.6,1040.0832
1.0,5.0,51.0,999.0,1.0,1.0,-0.1,93.2,4.153,5195.8,1087.0059
1.0,8.0,188.0,999.0,0.0,0.0,-1.8,93.075,1.435,5099.1,1066.7880000000002
1.0,2.0,354.0,999.0,0.0,0.0,1.4,93.918,4.957,5228.1,1094.0661
0.0,2.0,381.0,999.0,0.0,0.0,1.4,93.918,4.955,5228.1,1094.0655000000002
0.0,8.0,266.0,999.0,0.0,0.0,-1.8,93.075,1.423,5099.1,1066.7844000000002
1.0,5.0,259.0,999.0,0.0,0.0,-0.1,93.2,4.12,5195.8,1086.996
0.0,0.0,644.5,999.0,0.0,0.0,1.1,93.994,4.86,5191.0,1086.655
0.0,0.0,629.0,999.0,0.0,0.0,1.1,93.994,4.859,5191.0,1086.6547
1.0,2.0,96.0,999.0,0.0,0.0,1.4,93.918,4.962,5228.1,1094.0676
1.0,5.0,186.0,999.0,0.0,0.0,-0.1,93.2,4.076,5195.8,1086.9828
1.0,0.0,87.0,999.0,1.0,1.0,-1.8,92.893,1.281,5099.1,1066.6508000000001
0.0,1.0,79.0,999.0,0.0,0.0,1.4,94.465,4.961,5228.1,1094.3408000000002
1.0,2.0,75.0,999.0,0.0,0.0,1.4,93.918,4.968,5228.1,1094.0694
1.0,3.0,73.0,999.0,0.0,0.0,1.4,93.444,4.964,5228.1,1093.8312
1.0,8.0,167.0,6.0,2.0,2.0,-1.8,93.749,0.642,5008.7,1048.8071
0.0,0.0,220.0,999.0,0.0,0.0,1.1,93.994,4.858,5191.0,1086.6544000000001
0.0,0.0,184.0,999.0,0.0,0.0,1.1,93.994,4.864,5191.0,1086.6562000000001
1.0,7.0,247.0,6.0,2.0,2.0,-1.8,93.369,0.639,5008.7,1048.6162
1.0,8.0,175.0,999.0,0.0,0.0,-1.8,93.075,1.405,5099.1,1066.7790000000002
1.0,1.0,210.0,999.0,0.0,0.0,-2.9,92.963,1.262,5076.2,1062.1001
1.0,2.0,534.0,999.0,0.0,0.0,1.4,93.918,4.958,5228.1,1094.0664000000002
1.0,0.0,78.0,999.0,0.0,0.0,-1.8,92.893,1.244,5099.1,1066.6397000000002
0.0,1.0,99.0,999.0,0.0,0.0,1.4,94.465,4.961,5228.1,1094.3408000000002
1.0,0.0,644.5,999.0,0.0,0.0,-1.8,92.893,1.344,5099.1,1066.6697000000001
1.0,3.0,231.0,999.0,0.0,0.0,1.4,93.444,4.968,5228.1,1093.8324000000002
1.0,3.0,629.0,999.0,0.0,0.0,1.4,93.444,4.964,5228.1,1093.8312
1.0,3.0,551.0,999.0,0.0,0.0,-2.9,92.201,0.861,5076.2,1061.5988
1.0,5.0,23.0,999.0,1.0,1.0,-0.1,93.2,4.076,5195.8,1086.9828
1.0,2.0,332.0,999.0,0.0,0.0,1.4,93.918,4.962,5228.1,1094.0676
0.0,0.0,186.0,999.0,0.0,0.0,-1.8,92.893,1.334,5099.1,1066.6667000000002
0.0,2.0,567.0,6.0,2.0,2.0,-1.7,94.215,0.827,4991.6,1045.6756000000003
1.0,3.0,644.5,999.0,0.0,0.0,1.4,93.444,4.965,5228.1,1093.8315000000002
0.0,0.0,77.0,999.0,0.0,0.0,1.1,93.994,4.856,5191.0,1086.6538
1.0,0.0,259.0,999.0,0.0,0.0,-1.8,92.893,1.344,5099.1,1066.6697000000001
1.0,3.0,80.0,999.0,0.0,0.0,1.4,93.444,4.967,5228.1,1093.8321
1.0,3.0,212.0,999.0,0.0,0.0,1.4,93.444,4.965,5228.1,1093.8315000000002
0.0,0.0,157.0,999.0,0.0,0.0,1.1,93.994,4.857,5191.0,1086.6541
1.0,3.0,132.0,999.0,0.0,0.0,1.4,93.444,4.964,5228.1,1093.8312
1.0,0.0,20.0,999.0,0.0,0.0,-1.8,92.893,1.327,5099.1,1066.6646
1.0,3.0,102.0,999.0,0.0,0.0,1.4,93.444,4.966,5228.1,1093.8318000000002
1.0,0.0,283.0,999.0,0.0,0.0,-1.8,92.893,1.244,5099.1,1066.6397000000002
1.0,8.0,349.0,999.0,0.0,0.0,-1.8,93.075,1.415,5099.1,1066.7820000000002
1.0,2.0,141.0,999.0,0.0,0.0,1.4,93.918,4.963,5228.1,1094.0679
0.0,6.0,88.0,999.0,0.0,0.0,-3.0,92.713,0.715,5023.5,1051.271
0.0,0.0,113.0,999.0,0.0,0.0,-1.8,92.893,1.266,5099.1,1066.6463
0.0,2.0,553.0,999.0,0.0,0.0,1.4,93.918,4.962,5228.1,1094.0676
1.0,2.0,644.5,999.0,0.0,0.0,1.4,93.918,4.968,5228.1,1094.0694
1.0,0.0,644.5,999.0,0.0,0.0,-1.8,92.893,1.327,5099.1,1066.6646
1.0,1.0,181.0,999.0,0.0,0.0,-2.9,92.963,1.26,5076.2,1062.0995
0.0,1.0,34.0,999.0,0.0,0.0,1.4,94.465,4.961,5228.1,1094.3408000000002
1.0,5.0,167.0,999.0,0.0,0.0,-0.1,93.2,4.191,5195.8,1087.0173
0.0,0.0,224.0,999.0,0.0,0.0,1.1,93.994,4.857,5191.0,1086.6541
1.0,2.0,644.5,999.0,0.0,0.0,1.4,93.918,4.96,5228.1,1094.067
0.0,1.0,90.0,999.0,0.0,0.0,1.4,94.465,4.962,5228.1,1094.3411
1.0,5.0,82.0,999.0,0.0,0.0,-0.1,93.2,4.076,5195.8,1086.9828
0.0,0.0,144.0,999.0,0.0,0.0,1.1,93.994,4.857,5191.0,1086.6541
0.0,0.0,19.0,999.0,0.0,0.0,1.1,93.994,4.857,5191.0,1086.6541
1.0,7.0,392.0,999.0,0.0,0.0,-1.8,92.843,1.629,5099.1,1066.7302000000002
0.0,1.0,202.0,999.0,0.0,0.0,1.4,94.465,4.959,5228.1,1094.3402
1.0,3.0,644.5,999.0,0.0,0.0,1.4,93.444,4.966,5228.1,1093.8318000000002
1.0,5.0,42.0,999.0,0.0,0.0,-0.1,93.2,4.153,5195.8,1087.0059
0.0,1.0,183.0,999.0,0.0,0.0,1.4,94.465,4.961,5228.1,1094.3408000000002
0.0,1.0,39.0,999.0,0.0,0.0,1.4,94.465,4.959,5228.1,1094.3402
0.0,0.0,279.0,999.0,0.0,0.0,1.1,93.994,4.857,5191.0,1086.6541
1.0,0.0,97.0,999.0,1.0,1.0,-1.8,92.893,1.313,5099.1,1066.6604000000002
1.0,0.0,428.0,999.0,0.0,0.0,-1.8,92.893,1.313,5099.1,1066.6604000000002
1.0,2.0,228.0,999.0,0.0,0.0,1.4,93.918,4.962,5228.1,1094.0676
1.0,8.0,177.0,999.0,0.0,0.0,-1.8,93.075,1.405,5099.1,1066.7790000000002
1.0,3.0,100.0,999.0,0.0,0.0,1.4,93.444,4.965,5228.1,1093.8315000000002
1.0,5.0,124.0,999.0,0.0,0.0,-0.1,93.2,4.153,5195.8,1087.0059
1.0,0.0,43.0,999.0,1.0,1.0,-1.8,92.893,1.344,5099.1,1066.6697000000001
1.0,8.0,522.0,999.0,0.0,0.0,-1.8,93.075,1.406,5099.1,1066.7793000000001
1.0,3.0,123.0,15.0,1.0,2.0,-2.9,92.201,0.861,5076.2,1061.5988
0.0,1.0,68.0,999.0,0.0,0.0,1.4,94.465,4.961,5228.1,1094.3408000000002
1.0,2.0,150.0,999.0,0.0,0.0,1.4,93.918,4.962,5228.1,1094.0676
1.0,0.0,644.5,999.0,0.0,0.0,-1.8,92.893,1.281,5099.1,1066.6508000000001
1.0,0.0,326.0,999.0,0.0,0.0,-1.8,92.893,1.266,5099.1,1066.6463
1.0,0.0,95.0,999.0,0.0,0.0,-1.8,92.893,1.27,5099.1,1066.6475000000003
1.0,3.0,405.0,999.0,0.0,0.0,1.4,93.444,4.963,5228.1,1093.8309000000002
1.0,5.0,106.0,999.0,0.0,0.0,-0.1,93.2,4.153,5195.8,1087.0059
1.0,1.0,263.0,999.0,0.0,0.0,-2.9,92.963,1.252,5076.2,1062.0971
1.0,0.0,264.0,999.0,0.0,0.0,-1.8,92.893,1.266,5099.1,1066.6463
